title_detail,address,opening_hours,seats,title_URL_detail,normalized_url,title_shop,title_URL_shop,access,star,detail_URL,comment,bookmark,price,pop_score
"
                アルカンシェール アパホテル金沢駅前
              ","
                石川県金沢市広岡1-9-28 アパホテル　金沢駅前

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ","
                            18:00 - 22:30
                              L.O. 料理21:00
                          ",60席,https://tabelog.com/ishikawa/A1701/A170101/17000404/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17000404,アルカンシェール アパホテル金沢駅前,https://tabelog.com/ishikawa/A1701/A170101/17000404/," 金沢駅 121m / ダイニングバー、カフェ・喫茶店(カフェ)、イタリアン
            ",3.07,https://tabelog.com/ishikawa/A1701/A170101/17000404/dtlrvwlst/,8,331,,17.821764354573617
"
                スターバックスコーヒー 金沢フォーラス6階クーゴ店
              ","
                石川県金沢市堀川新町3-1 金沢フォーラス 6F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ","
                            10:00 - 22:00
                          ","
                  無                ",https://tabelog.com/ishikawa/A1701/A170101/17007673/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17007673,スターバックスコーヒー 金沢フォーラス6階クーゴ店,https://tabelog.com/ishikawa/A1701/A170101/17007673/,"
              金沢駅 222m (北鉄金沢駅 131m) / カフェ・喫茶店(カフェ)
            ",3.05,https://tabelog.com/ishikawa/A1701/A170101/17007673/dtlrvwlst/,48,250,,16.852631464351937
"
                珈琲館 長田亭
              ","
                石川県金沢市本町2-18-32 

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ",,"
                  無                ",https://tabelog.com/ishikawa/A1701/A170101/17003004/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17003004,珈琲館 長田亭,https://tabelog.com/ishikawa/A1701/A170101/17003004/,"
              金沢駅 409m (北鉄金沢駅 331m) / カフェ・喫茶店(喫茶店)、カフェ・喫茶店(カフェ)
            ",3.09,https://tabelog.com/ishikawa/A1701/A170101/17003004/dtlrvwlst/,16,416,,18.642236425358295
"
                カフェぶどうの森 ファーム金沢百番街店
              ","
                石川県金沢市木ノ新保町1-1 JR金沢駅百番街あんと西 1F 百番キッチン

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ","
                            11:00 - 22:00
                          ",20席,https://tabelog.com/ishikawa/A1701/A170101/17012324/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17012324,カフェぶどうの森 ファーム金沢百番街店,https://tabelog.com/ishikawa/A1701/A170101/17012324/," 金沢駅 44m / イタリアン、カフェ・喫茶店(カフェ)、ピザ
            ",3.13,https://tabelog.com/ishikawa/A1701/A170101/17012324/dtlrvwlst/,30,209,,16.736446571145677
"
                珈琲舎　莫迦Bacca
              ","
                石川県金沢市此花町4-26 

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ","
                            12:00 - 23:00
                          ",8席,https://tabelog.com/ishikawa/A1701/A170101/17010343/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17010343,珈琲舎　莫迦Bacca,https://tabelog.com/ishikawa/A1701/A170101/17010343/,"
              金沢駅 333m (北鉄金沢駅 189m) / カフェ・喫茶店(カフェ)
            ",3.08,https://tabelog.com/ishikawa/A1701/A170101/17010343/dtlrvwlst/,11,250,,17.018395052525893
"
                ジェラート ピケ カフェ 金沢フォーラス店
              ","
                石川県金沢市堀川新町3-1 金沢フォーラス 1F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ","
                            10:00 - 20:00
                          ","
                  無                ",https://tabelog.com/ishikawa/A1701/A170101/17012400/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17012400,ジェラート ピケ カフェ 金沢フォーラス店,https://tabelog.com/ishikawa/A1701/A170101/17012400/,"
              金沢駅 223m (北鉄金沢駅 131m) / カフェ・喫茶店(カフェ)、スイーツ
            ",3.16,https://tabelog.com/ishikawa/A1701/A170101/17012400/dtlrvwlst/,18,162,,16.09625063454937
"
                7day's Soup Cafe
              ","
                石川県金沢市広岡1-9-28 アパホテル金沢駅前 1F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ","
                            07:00 - 17:00
                          ",46席,https://tabelog.com/ishikawa/A1701/A170101/17012634/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17012634,7day's Soup Cafe,https://tabelog.com/ishikawa/A1701/A170101/17012634/," 金沢駅 121m / カフェ・喫茶店(カフェ)
            ",3.25,https://tabelog.com/ishikawa/A1701/A170101/17012634/dtlrvwlst/,24,548,,20.501319934905975
"
                レモネードバイレモニカ 金沢FORUS店2
              ","
                石川県金沢市堀川新町3-1 金沢フォーラス 6F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ","
                            11:00 - 23:00
                          ","
                  無                ",https://tabelog.com/ishikawa/A1701/A170101/17011307/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17011307,レモネードバイレモニカ 金沢FORUS店2,https://tabelog.com/ishikawa/A1701/A170101/17011307/,"
              金沢駅 215m (北鉄金沢駅 113m) / カフェ・喫茶店(カフェ)
            ",3.03,https://tabelog.com/ishikawa/A1701/A170101/17011307/dtlrvwlst/,19,241,,16.63148131025476
"
                ブルーマンデー
              ","
                石川県金沢市本町2-15-1 ポルテ金沢 B1F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ","
                            09:00 - 19:00
                          ","
                  無                ",https://tabelog.com/ishikawa/A1701/A170101/17007921/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17007921,ブルーマンデー,https://tabelog.com/ishikawa/A1701/A170101/17007921/,"
              金沢駅 254m (北鉄金沢駅 190m) / カフェ・喫茶店(コーヒースタンド)
            ",3.31,https://tabelog.com/ishikawa/A1701/A170101/17007921/dtlrvwlst/,37,1453,,24.10366380828937
"
                スターバックスコーヒー 金沢フォーラス1階店
              ","
                石川県金沢市堀川新町3-1 金沢フォーラス 1F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

              
                
                  このお店は「金沢市堀川新町3-1」から移転しています。
                  ※移転前の情報は最新のものとは異なります。
                
                  
                    移転前の店舗情報を見る
                  
              
          ",,"
                  無                ",https://tabelog.com/ishikawa/A1701/A170101/17013499/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17013499,スターバックスコーヒー 金沢フォーラス1階店,https://tabelog.com/ishikawa/A1701/A170101/17013499/,"
              金沢駅 223m (北鉄金沢駅 131m) / カフェ・喫茶店(カフェ)
            ",3.03,https://tabelog.com/ishikawa/A1701/A170101/17013499/dtlrvwlst/,20,95,,13.829975020147543
